Account Number,Account Type,Employment Status,Employment Position,Age,Nationality,Account Status,Risk Code,Date Joined
4898,JOINT,EMPLOYED FULL-TIME,BARMAN,51,IRISH,ACTIVE,LO,24-May-91
4902,SINGLE,EMPLOYED PART-TIME,SNA,52,IRISH,ACTIVE,LO,28-May-91
4903,SINGLE,EMPLOYED FULL-TIME,HOUSEHOLD STAFF,60,IRISH,ACTIVE,LO,28-May-91
4904,SINGLE,EMPLOYED PART-TIME,Not Available,49,IRISH,ACTIVE,LO,28-May-91
4906,SINGLE,Not Available,SECRETARY,81,IRISH,ACTIVE,LO,29-May-91
4910,SINGLE,EMPLOYED FULL-TIME,PROGRAMMER,51,IRISH,ACTIVE,LO,30-May-91
4911,SINGLE,Not Available,CLERICAL,51,IRISH,ACTIVE,LO,30-May-91
4916,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,61,IRISH,ACTIVE,LO,31-May-91
4917,SINGLE,EMPLOYED FULL-TIME,COMPUTER PROG,55,IRISH,ACTIVE,LO,31-May-91
4941,SINGLE,EMPLOYED PART-TIME,Not Available,52,IRISH,ACTIVE,LO,06-Jun-91
4950,SINGLE,EMPLOYED PART-TIME,SKILLS COORDINATOR,55,IRISH,ACTIVE,LO,24-Mar-06
4958,SINGLE,EMPLOYED FULL-TIME,PANEL BEATER,44,IRISH,ACTIVE,LO,10-Jun-91
4964,SINGLE,RETIRED,Not Available,68,IRISH,ACTIVE,LO,12-Jun-91
4969,SINGLE,EMPLOYED FULL-TIME,TRAVEL CONSULTANT,32,IRISH,ACTIVE,LO,14-Jun-91
4973,SINGLE,EMPLOYED FULL-TIME,CARETAKER,65,IRISH,ACTIVE,LO,14-Jun-91
4975,SINGLE,RETIRED,STATE PENSION,79,IRISH,ACTIVE,LO,14-Jun-91
4979,SINGLE,Not Available,Not Available,68,IRISH,ACTIVE,LO,17-Jun-91
5002,SINGLE,EMPLOYED PART-TIME,CARE ASSISTANT,62,IRISH,ACTIVE,LO,14-Oct-83
5003,SINGLE,DISABILITY,ILLNESS BENEFIT,52,IRISH,ACTIVE,LO,26-Apr-06
5005,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,63,IRISH,ACTIVE,LO,14-Oct-83
5006,SINGLE,EMPLOYED PART-TIME,SALES ASSISTANT,57,IRISH,ACTIVE,LO,14-Oct-83
5012,SINGLE,SELF EMPLOYED,TAXI DRIVER,64,IRISH,ACTIVE,LO,17-Oct-83
5027,SINGLE,EMPLOYED FULL-TIME,ACCOUNTS ASSISTANT,61,IRISH,ACTIVE,LO,05-Nov-83
5030,SINGLE,EMPLOYED PART-TIME,SHOP ASSISTANT,59,IRISH,ACTIVE,LO,07-Nov-83
5031,SINGLE,RETIRED,STATE PENSION,83,IRISH,ACTIVE,LO,07-Nov-83
5032,SINGLE,Not Available,WAREHOUSE OP,58,IRISH,ACTIVE,LO,11-Nov-83
5036,SINGLE,Not Available,SALES ASSISTANT,74,IRISH,ACTIVE,LO,12-Nov-83
5043,SINGLE,EMPLOYED FULL-TIME,SALES,58,IRISH,ACTIVE,LO,18-Nov-83
5044,SINGLE,RETIRED,RETIRED PENSIONER,75,IRISH,ACTIVE,LO,18-Nov-83
5048,SINGLE,STUDENT,B TO EDUC-STUDENT NURSE,46,IRISH,ACTIVE,LO,28-Jun-91
5049,SINGLE,RETIRED,STATE PENSION,75,IRISH,ACTIVE,LO,26-Nov-83
5052,SINGLE,SELF EMPLOYED,Not Available,54,IRISH,CHOFF,LO,11-Sep-89
5053,SINGLE,EMPLOYED FULL-TIME,NURSE,65,IRISH,ACTIVE,LO,02-Dec-83
5061,SINGLE,EMPLOYED FULL-TIME,SALES ASSISTANT,63,IRISH,ACTIVE,LO,30-Dec-83
5067,SINGLE,EMPLOYED FULL-TIME,RECEPTIONIST,68,IRISH,ACTIVE,LO,06-Jan-84
5068,SINGLE,EMPLOYED FULL-TIME,ENGINEER,43,IRISH,ACTIVE,LO,06-Jan-84
5072,SINGLE,Not Available,EXAM SUPERVISOR,76,IRISH,ACTIVE,LO,06-Jan-84
5080,SINGLE,EMPLOYED PART-TIME,OFFICE- ADMIN 3 DAYS,69,IRISH,ACTIVE,LO,07-Jan-84
5081,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,48,IRISH,ACTIVE,LO,07-Jan-84
5083,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,42,IRISH,ACTIVE,LO,07-Jan-84
5086,SINGLE,EMPLOYED FULL-TIME,MACHINE OPERATOR,60,IRISH,ACTIVE,LO,07-Jan-84
5088,SINGLE,EMPLOYED PART-TIME,WATERFORD ELECTRICAL W/SALER,62,IRISH,CHOFF,LO,07-Jan-84
5089,SINGLE,EMPLOYED FULL-TIME,ELECTRICIAN,62,IRISH,ACTIVE,LO,07-Jan-84
5094,SINGLE,RETIRED,HOUSEWIFE,82,IRISH,ACTIVE,LO,09-Jan-84
5096,SINGLE,RETIRED,Not Available,75,IRISH,ACTIVE,LO,15-Jan-09
5107,SINGLE,EMPLOYED FULL-TIME,SUPERVISOR,46,IRISH,ACTIVE,LO,04-Jul-91
5115,SINGLE,RETIRED,Not Available,75,IRISH,ACTIVE,LO,20-Jan-84
5119,SINGLE,DISABILITY,INALIDITY PENSION,65,IRISH,ACTIVE,LO,21-Jan-84
5126,SINGLE,RETIRED,STATE PENSION,81,IRISH,ACTIVE,LO,27-Jan-84
5128,SINGLE,RETIRED,Not Available,70,IRISH,ACTIVE,LO,05-Jul-91
5129,SINGLE,RETIRED,Not Available,65,IRISH,ACTIVE,LO,28-Jan-84
5131,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,53,IRISH,ACTIVE,LO,05-Jul-91
5132,SINGLE,EMPLOYED FULL-TIME,EX OFFICER,60,IRISH,ACTIVE,LO,01-Feb-84
5138,SINGLE,RETIRED,PENSION,80,IRISH,ACTIVE,LO,03-Feb-84
5143,SINGLE,RETIRED,STATE PENSION,75,IRISH,ACTIVE,LO,04-Feb-84
5152,SINGLE,EMPLOYED FULL-TIME,AUTOMATION ENGINEER,56,IRISH,ACTIVE,LO,05-Jul-91
5157,SINGLE,EMPLOYED FULL-TIME,MANAGER - ILLNESS BENEFIT,63,IRISH,ACTIVE,LO,18-Feb-84
5165,SINGLE,DISABILITY,DISABILITY INCOME,62,IRISH,ACTIVE,LO,24-Feb-84
5167,SINGLE,RETIRED,Not Available,68,IRISH,ACTIVE,LO,27-Feb-84
5174,SINGLE,SELF EMPLOYED,DORECTOR / WORKER,58,IRISH,ACTIVE,LO,09-Jul-91
5183,SINGLE,RETIRED,Not Available,68,IRISH,ACTIVE,LO,02-Mar-84
5184,SINGLE,EMPLOYED FULL-TIME,Not Available,65,IRISH,ACTIVE,LO,02-Mar-84
5187,SINGLE,EMPLOYED PART-TIME,HOME HELPER,70,IRISH,ACTIVE,LO,03-Mar-84
5189,SINGLE,PART TIME SELF EMPLOYED,Not Available,59,IRISH,ACTIVE,LO,09-Jul-91
5193,SINGLE,EMPLOYED PART-TIME,WATERFORD REGIONAL YOUTH SERVI,60,IRISH,ACTIVE,LO,10-Mar-84
5199,SINGLE,UNEMPLOYED,Not Available,88,IRISH,ACTIVE,LO,16-Mar-84
5207,SINGLE,UNEMPLOYED,Not Available,66,IRISH,ACTIVE,LO,11-Jul-91
5208,SINGLE,EMPLOYED PART-TIME,BOI CLEANER,70,IRISH,ACTIVE,LO,23-Mar-84
5209,SINGLE,EMPLOYED FULL-TIME,DAVID FLYNN CONSTRUCTION,62,IRISH,ACTIVE,LO,26-Mar-84
5220,SINGLE,EMPLOYED FULL-TIME,Not Available,32,IRISH,ACTIVE,LO,12-Jul-91
5223,SINGLE,EMPLOYED FULL-TIME,PRIMARY SCHOOL TEACHER,32,IRISH,ACTIVE,LO,12-Jul-91
5228,SINGLE,EMPLOYED FULL-TIME,ACCOUNTANT TEC,56,IRISH,ACTIVE,LO,05-May-84
5229,SINGLE,EMPLOYED FULL-TIME, ELECTRICIAN,39,IRISH,ACTIVE,LO,05-May-84
5233,SINGLE,EMPLOYED FULL-TIME,PROCESS OPERATOR,50,IRISH,ACTIVE,LO,12-Jul-91
5242,SINGLE,RETIRED,WIDOWS PENSION,81,IRISH,ACTIVE,LO,12-Jul-91
5245,SINGLE,EMPLOYED PART-TIME,CARETAKER,69,IRISH,ACTIVE,LO,25-May-84
5247,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,65,IRISH,ACTIVE,LO,26-May-84
5262,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATOR,56,IRISH,ACTIVE,LO,21-Jul-04
5264,SINGLE,EMPLOYED FULL-TIME,GLASS CUTTER,68,IRISH,ACTIVE,LO,09-Jun-84
5282,SINGLE,RETIRED,STATE PENSION,75,IRISH,ACTIVE,LO,15-Jul-91
5292,SINGLE,EMPLOYED FULL-TIME,PRIEST,59,IRISH,ACTIVE,LO,16-Jul-84
5297,SINGLE,EMPLOYED FULL-TIME,STORE PERSON,56,IRISH,ACTIVE,LO,23-Jul-84
5304,SINGLE,UNEMPLOYED,BACK TO EDUCATION ALLOWANCE,53,IRISH,ACTIVE,LO,04-Aug-84
5311,SINGLE,RETIRED,PENSIONER,70,IRISH,ACTIVE,LO,17-Aug-84
5314,SINGLE,RETIRED,STATE PENSINO CONT,72,IRISH,ACTIVE,LO,24-Aug-84
5316,SINGLE,EMPLOYED FULL-TIME,TEVA INHALATIONS SECTION,58,IRISH,ACTIVE,LO,15-Jul-91
5323,SINGLE,RETIRED,RETIRED,87,IRISH,ACTIVE,LO,27-Aug-84
5330,SINGLE,EMPLOYED PART-TIME,SECRETARY 3 DAYS,59,IRISH,ACTIVE,LO,31-Aug-84
5335,SINGLE,RETIRED,PRIVATE PENSION,73,IRISH,ACTIVE,LO,07-Sep-84
5342,SINGLE,EMPLOYED PART-TIME,FACTORY WORKER,60,IRISH,ACTIVE,LO,10-Sep-84
5347,SINGLE,Not Available,Not Available,50,IRISH,ACTIVE,LO,19-Jul-91
5349,SINGLE,EMPLOYED FULL-TIME,LAUNDRY,71,IRISH,ACTIVE,LO,14-Sep-84
5356,SINGLE,EMPLOYED FULL-TIME,CHEF CAMPBELL CATERING B&L,52,IRISH,ACTIVE,LO,19-Jul-91
5359,SINGLE,EMPLOYED FULL-TIME,TECHNICIAN,60,IRISH,ACTIVE,LO,19-Jul-91
5363,SINGLE,Not Available,Not Available,46,IRISH,ACTIVE,LO,15-Sep-84
5364,SINGLE,Not Available,Not Available,48,IRISH,ACTIVE,LO,17-Dec-97
5373,SINGLE,EMPLOYED FULL-TIME,NURSE,45,IRISH,ACTIVE,LO,24-Sep-84
5376,SINGLE,UNEMPLOYED,H/WIFE,77,IRISH,ACTIVE,LO,28-Sep-84
5380,SINGLE,RETIRED,HSE PENSION,70,IRISH,ACTIVE,LO,28-Sep-84
5384,SINGLE,EMPLOYED PART-TIME,CLEANER,60,IRISH,ACTIVE,LO,29-Sep-84
5385,SINGLE,EMPLOYED FULL-TIME,CARPENTER,38,IRISH,ACTIVE,LO,23-Jul-91
5389,SINGLE,RETIRED,Not Available,71,IRISH,ACTIVE,LO,06-Oct-84
5391,SINGLE,EMPLOYED PART-TIME,OFFICE ADMIN,52,IRISH,ACTIVE,LO,06-Oct-84
5394,SINGLE,EMPLOYED PART-TIME,KITCHEN ASSISTANT,51,IRISH,ACTIVE,LO,30-Jul-91
5396,SINGLE,EMPLOYED FULL-TIME,ACCOUNTS OFFICE,62,IRISH,ACTIVE,LO,22-Jul-91
5399,SINGLE,Not Available,Not Available,51,IRISH,ACTIVE,LO,24-Jul-91
5402,SINGLE,EMPLOYED PART-TIME,CLEANER,63,IRISH,ACTIVE,LO,19-Oct-84
5406,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,61,IRISH,ACTIVE,LO,20-Oct-84
5412,SINGLE,RETIRED,Not Available,79,IRISH,ACTIVE,LO,25-Oct-84
5423,SINGLE,STUDENT,3RD YR ENVIRON SCIENCE & FLORIST,36,IRISH,ACTIVE,LO,31-Jul-91
5433,SINGLE,RETIRED,Not Available,69,IRISH,ACTIVE,LO,29-Sep-22
5434,SINGLE,EMPLOYED FULL-TIME,DECORATOR/PAINTER,51,IRISH,CHOFF,LO,02-Feb-00
5435,SINGLE,EMPLOYED FULL-TIME,CRANE DRIVER,64,IRISH,ACTIVE,LO,17-Nov-84
5437,SINGLE,EMPLOYED FULL-TIME,PROCESS PRODUCTION MANAGER,49,IRISH,ACTIVE,LO,02-Aug-91
5439,SINGLE,UNEMPLOYED,JOB SEEKERS ALLOWANCE CE SCHEEME,49,IRISH,ACTIVE,LO,17-Nov-84
5440,SINGLE,EMPLOYED FULL-TIME,MANAGER,57,IRISH,ACTIVE,LO,24-Nov-84
5442,SINGLE,DISABILITY,INVALIDITY INCOME,59,IRISH,ACTIVE,LO,26-Nov-84
5453,SINGLE,UNEMPLOYED,JOB SEEKER,39,IRISH,ACTIVE,LO,18-Dec-84
5458,SINGLE,EMPLOYED FULL-TIME,MECHANICAL DESIGN ENGINEER,47,IRISH,ACTIVE,LO,04-Jan-85
5466,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,73,IRISH,ACTIVE,LO,07-Jan-85
5474,SINGLE,EMPLOYED FULL-TIME,AMENITIES SUPERVISOR,54,IRISH,ACTIVE,LO,11-Jan-85
5477,SINGLE,UNEMPLOYED,HOUSEWIFE,66,IRISH,ACTIVE,LO,11-Jan-85
5478,SINGLE,RETIRED,RETIRED PENSIONER,77,IRISH,ACTIVE,LO,11-Jan-85
5481,SINGLE,EMPLOYED FULL-TIME,ADMINISTRATION,58,IRISH,ACTIVE,LO,11-Jan-85
5486,SINGLE,EMPLOYED FULL-TIME,INSTALLATION TECHNICIAN,51,IRISH,ACTIVE,LO,09-Aug-91
5487,SINGLE,HOMEMAKER,HOUSEWIFE,71,IRISH,ACTIVE,LO,11-Jan-85
5491,SINGLE,Not Available,SHOP ASSISTANT,49,IRISH,ACTIVE,LO,12-Jan-85
5499,SINGLE,EMPLOYED FULL-TIME,GEN OPERATIVE,55,IRISH,ACTIVE,LO,09-Aug-91
5504,SINGLE,EMPLOYED FULL-TIME,FIRST AID,57,IRISH,ACTIVE,LO,21-Jan-85
5505,SINGLE,EMPLOYED FULL-TIME,COURT HOUSE CLEANER,69,IRISH,CHOFF,LO,12-Aug-91
5528,SINGLE,RETIRED,PENSION,88,IRISH,ACTIVE,LO,07-Feb-85
5531,SINGLE,RETIRED,STATE PENSION,92,IRISH,ACTIVE,LO,08-Feb-85
5548,SINGLE,DISABILITY,DISABILITY PAYMENT,63,IRISH,ACTIVE,LO,23-Feb-85
5549,SINGLE,RETIRED,RETIRED,71,IRISH,ACTIVE,LO,23-Feb-85
5550,SINGLE,SELF EMPLOYED,Not Available,52,IRISH,ACTIVE,LO,16-Aug-91
5561,SINGLE,RETIRED,Not Available,76,IRISH,ACTIVE,LO,08-Mar-85
5562,SINGLE,RETIRED,RETIRED,75,IRISH,ACTIVE,LO,09-Mar-85
5563,SINGLE,Not Available,HOUSEWIFE,88,IRISH,ACTIVE,LO,09-Mar-85
5569,SINGLE,DISABILITY,DISABILITY PAYMENT,54,IRISH,ACTIVE,LO,23-Mar-85
5571,SINGLE,EMPLOYED PART-TIME,OFFICE ACCOUNTANT,53,IRISH,ACTIVE,LO,16-Aug-91
5573,SINGLE,EMPLOYED FULL-TIME,CLERICAL OFFICE,58,IRISH,ACTIVE,LO,25-Mar-85
5574,SINGLE,EMPLOYED FULL-TIME,ADMINISTRATOR,66,IRISH,ACTIVE,LO,01-Apr-85
5575,SINGLE,EMPLOYED PART-TIME,SHOP ASSISTANT,58,IRISH,ACTIVE,LO,16-Aug-91
5576,SINGLE,Not Available,Not Available,72,IRISH,ACTIVE,LO,19-Aug-91
5580,SINGLE,EMPLOYED FULL-TIME,CLERICAL OFFICER,44,IRISH,ACTIVE,LO,12-Apr-85
5581,SINGLE,RETIRED,EARLY RETIRED PENSION,70,IRISH,ACTIVE,LO,15-Apr-85
5582,SINGLE,RETIRED,STATE PENSION,83,IRISH,ACTIVE,LO,16-Apr-85
5586,SINGLE,EMPLOYED FULL-TIME,REP,73,IRISH,ACTIVE,LO,19-Apr-85
5588,SINGLE,RETIRED,PENSIONS,82,IRISH,ACTIVE,LO,20-Apr-85
5596,SINGLE,EMPLOYED PART-TIME,PART TIME CLEANER,71,IRISH,ACTIVE,LO,25-Apr-85
5599,SINGLE,EMPLOYED PART-TIME,CARE WORKER,65,IRISH,ACTIVE,LO,04-May-85
5601,SINGLE,EMPLOYED FULL-TIME,FULLTIME,38,IRISH,ACTIVE,LO,06-May-85
5603,SINGLE,EMPLOYED FULL-TIME,STOREMAN,66,IRISH,ACTIVE,LO,10-May-85
5608,SINGLE,EMPLOYED FULL-TIME,LORRY/CRANE DRIVER,50,IRISH,ACTIVE,LO,11-May-85
5618,SINGLE,SELF EMPLOYED,PAMP UR POO,68,IRISH,ACTIVE,LO,26-Aug-91
5632,SINGLE,EMPLOYED PART-TIME,CLERICAL,51,IRISH,ACTIVE,LO,20-Aug-91
5633,SINGLE,RETIRED,Not Available,67,IRISH,ACTIVE,LO,13-Mar-98
5634,SINGLE,UNEMPLOYED,HOUSEWIFE,58,IRISH,ACTIVE,LO,07-Jun-85
5638,SINGLE,EMPLOYED PART-TIME,PERSONAL ASST,64,IRISH,ACTIVE,LO,14-Jun-85
5645,SINGLE,RETIRED,RETIRED PENSIONER,69,IRISH,ACTIVE,LO,24-Jun-85
5651,SINGLE,EMPLOYED FULL-TIME,CARER,60,IRISH,ACTIVE,LO,16-Jan-98
5662,SINGLE,Not Available,FACTORY WORKER,60,IRISH,ACTIVE,LO,12-Jul-85
5675,SINGLE,RETIRED,PENSIONER,81,IRISH,ACTIVE,LO,02-Aug-85
5681,SINGLE,RETIRED,STATE PENSION,80,IRISH,ACTIVE,LO,02-Aug-85
5682,SINGLE,EMPLOYED FULL-TIME,FACTORY OPERATIVE,45,IRISH,ACTIVE,LO,02-Feb-05
5706,SINGLE,RETIRED,PENSIONER,77,IRISH,ACTIVE,LO,17-Aug-85
5715,SINGLE,RETIRED,RETIRED,68,IRISH,ACTIVE,LO,26-Aug-85
5720,SINGLE,Not Available,ADMINISTRATOR,66,IRISH,ACTIVE,LO,30-Aug-85
5721,SINGLE,EMPLOYED FULL-TIME,ASST CHIEF FIRE,74,IRISH,ACTIVE,LO,31-Aug-85
5725,SINGLE,EMPLOYED PART-TIME,SENIOR STAFF OFFICER,57,IRISH,ACTIVE,LO,05-Sep-85
5735,SINGLE,Not Available,Not Available,47,IRISH,ACTIVE,LO,13-Sep-85
5738,SINGLE,EMPLOYED FULL-TIME,SERVICE REP HEINEKEN,69,IRISH,ACTIVE,LO,20-Sep-85
5741,SINGLE,RETIRED,RETIRED,79,IRISH,ACTIVE,LO,29-Aug-91
5750,SINGLE,RETIRED,STATE PENSION,76,IRISH,ACTIVE,LO,30-Aug-91
5752,SINGLE,SELF EMPLOYED,PLASTERER,61,IRISH,ACTIVE,LO,22-Jul-05
5756,SINGLE,EMPLOYED FULL-TIME,ESTATE OFFICER,60,IRISH,ACTIVE,LO,10-Oct-85
5762,SINGLE,Not Available,Not Available,84,IRISH,ACTIVE,LO,17-Oct-85
5764,SINGLE,RETIRED,Not Available,74,IRISH,ACTIVE,LO,19-Oct-85
5767,SINGLE,EMPLOYED FULL-TIME,CLEANER,73,IRISH,ACTIVE,LO,21-Oct-85
5773,SINGLE,Not Available,Not Available,59,IRISH,ACTIVE,LO,03-Mar-91
5775,SINGLE,EMPLOYED FULL-TIME,Not Available,58,IRISH,ACTIVE,LO,23-Jan-17
5781,SINGLE,Not Available,Not Available,87,IRISH,ACTIVE,LO,02-Nov-85
5783,SINGLE,Not Available,CIVIL SERVICE,56,IRISH,ACTIVE,LO,02-Nov-85
5788,SINGLE,EMPLOYED FULL-TIME,Lisduggan Credit Union,58,IRISH,ACTIVE,LO,09-Nov-85
5797,SINGLE,EMPLOYED FULL-TIME,SPECIAL NEEDS ASSISTANT,58,IRISH,ACTIVE,LO,22-Nov-85
5805,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,51,IRISH,ACTIVE,LO,11-Oct-85
5812,SINGLE,EMPLOYED FULL-TIME,GENERAL OP,63,IRISH,ACTIVE,LO,06-Sep-91
5819,SINGLE,EMPLOYED FULL-TIME,CLEANER,62,IRISH,ACTIVE,LO,11-Apr-86
5821,SINGLE,EMPLOYED PART-TIME,CLERK,55,IRISH,ACTIVE,LO,12-Mar-03
5830,SINGLE,EMPLOYED FULL-TIME,OFFICE/ADMIN WORKER,58,IRISH,ACTIVE,LO,10-Oct-86
5833,SINGLE,DISABILITY,DISABILITY INCOME,72,IRISH,ACTIVE,LO,09-Jan-87
5847,SINGLE,UNEMPLOYED,CARERS ALLOWANCE,55,IRISH,ACTIVE,LO,14-Jan-98
5849,SINGLE,UNEMPLOYED,Not Available,54,IRISH,ACTIVE,LO,13-Jun-87
5856,SINGLE,RETIRED,TEACHER,66,IRISH,ACTIVE,LO,09-Oct-87
5866,SINGLE,EMPLOYED FULL-TIME,WAITRESS,35,IRISH,ACTIVE,LO,04-Mar-88
5869,SINGLE,EMPLOYED FULL-TIME,CLEANER,56,IRISH,ACTIVE,LO,15-Apr-88
5873,SINGLE,Not Available,Not Available,63,IRISH,ACTIVE,LO,29-Jun-12
5874,SINGLE,EMPLOYED PART-TIME,CE SCHEME,36,IRISH,ACTIVE,LO,09-Nov-00
5891,SINGLE,HOMEMAKER,HOMEMAKER,52,IRISH,ACTIVE,LO,20-Jan-89
5894,SINGLE,RETIRED,Not Available,72,IRISH,ACTIVE,LO,07-Feb-89
5896,SINGLE,EMPLOYED FULL-TIME,CENTRA MOONCOIN,51,IRISH,ACTIVE,LO,25-Jun-09
5903,SINGLE,EMPLOYED FULL-TIME,LORRY DRIVER,48,IRISH,CHOFF,LO,01-Sep-89
5919,SINGLE,EMPLOYED FULL-TIME,HEALTH CARE ASSISTANT,52,IRISH,ACTIVE,LO,01-Mar-91
5921,SINGLE,SELF EMPLOYED,Not Available,57,IRISH,CHOFF,LO,04-Apr-91
5925,SINGLE,RETIRED,RETIRED,70,IRISH,ACTIVE,LO,23-Aug-91
5930,SINGLE,EMPLOYED FULL-TIME,Not Available,77,IRISH,ACTIVE,LO,15-Oct-91
5933,SINGLE,EMPLOYED PART-TIME,EMERALD CONRACT CENTRE,39,IRISH,ACTIVE,LO,25-Nov-91
5938,SINGLE,UNEMPLOYED,HOUSEWIFE,75,IRISH,ACTIVE,LO,20-Mar-92
5945,SINGLE,RETIRED,RETIRED PENSIONER,80,IRISH,ACTIVE,LO,17-Aug-92
5946,SINGLE,EMPLOYED FULL-TIME,ASSISTANT INSPECTOR,44,IRISH,ACTIVE,LO,14-Sep-92
5952,SINGLE,Not Available,Not Available,45,IRISH,ACTIVE,LO,22-Jan-93
5956,SINGLE,UNEMPLOYED,Not Available,66,IRISH,ACTIVE,HI,20-Sep-16
5958,SINGLE,EMPLOYED FULL-TIME,RADIOLOGY NURSE,51,IRISH,ACTIVE,LO,22-Jun-93
5959,SINGLE,Not Available,Not Available,85,IRISH,ACTIVE,LO,22-Jun-93
5962,SINGLE,EMPLOYED FULL-TIME,SUPPORT WORKER,49,IRISH,ACTIVE,LO,19-Nov-02
5963,SINGLE,DISABILITY,INVALIDITY PENSION,69,IRISH,ACTIVE,LO,05-Oct-93
5968,SINGLE,EMPLOYED FULL-TIME,PRODUCT BUILDER,57,IRISH,ACTIVE,LO,12-Nov-93
5972,SINGLE,EMPLOYED FULL-TIME,ELECTRICAL MANAGER,49,IRISH,ACTIVE,LO,09-Jan-18
5973,SINGLE,UNEMPLOYED,JOB SEEKERS ALLOWANCE,58,IRISH,ACTIVE,LO,04-Feb-94
5974,SINGLE,HOMEMAKER,HOMEMAKER,58,IRISH,ACTIVE,LO,04-Feb-94
6004,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,62,IRISH,ACTIVE,LO,04-Jan-91
6006,SINGLE,UNEMPLOYED,ON DISABILITY,57,IRISH,ACTIVE,LO,06-Dec-85
6007,SINGLE,EMPLOYED PART-TIME,CASUAL WORK,72,IRISH,ACTIVE,LO,10-Sep-91
6009,SINGLE,DISABILITY,INVALIDITY INCOME,59,IRISH,ACTIVE,LO,09-Dec-85
6019,SINGLE,EMPLOYED FULL-TIME,INSURANCE ACCOUNT EXECUTIVE,47,IRISH,ACTIVE,LO,03-Jan-86
6026,SINGLE,EMPLOYED PART-TIME,CAB DRIVER WEEKENDS,63,IRISH,ACTIVE,LO,03-Jan-86
6029,SINGLE,EMPLOYED FULL-TIME,TEACHER JOB SHARING,38,IRISH,ACTIVE,LO,12-Jun-91
6030,SINGLE,EMPLOYED FULL-TIME,SPECIAL NEEDS ASSISTANT,56,IRISH,ACTIVE,LO,03-Jan-86
6043,SINGLE,SELF EMPLOYED,CARPENTER,51,IRISH,ACTIVE,LO,06-Feb-86
6059,SINGLE,RETIRED,Not Available,73,IRISH,ACTIVE,LO,10-Jan-86
6074,SINGLE,EMPLOYED FULL-TIME,TAXI,68,IRISH,ACTIVE,LO,13-Jan-86
6083,SINGLE,EMPLOYED FULL-TIME,GEN. OPERATIVE,41,IRISH,ACTIVE,LO,13-Sep-91
6090,SINGLE,EMPLOYED PART-TIME,STELLA MARIS TRAMORE,38,IRISH,ACTIVE,LO,13-Sep-91
6096,SINGLE,SELF EMPLOYED,ACCOUNTS TECHNICIAN,56,IRISH,ACTIVE,LO,17-Jan-86
6103,SINGLE,EMPLOYED FULL-TIME,INSTRUCTOR,58,IRISH,ACTIVE,LO,13-Sep-91
6105,SINGLE,EMPLOYED FULL-TIME,UNEMPLOYED ON ILLNESS BENEFIT,66,IRISH,ACTIVE,LO,24-Jan-86
6109,SINGLE,RETIRED,STATE PENSION,73,IRISH,ACTIVE,LO,24-Jan-86
6113,SINGLE,SELF EMPLOYED,SHOP OWNER,53,IRISH,ACTIVE,LO,24-Jan-86
6114,SINGLE,EMPLOYED PART-TIME,SALES ASSISTANT,57,IRISH,ACTIVE,LO,25-Jan-86
6125,SINGLE,Not Available,HOME,56,IRISH,ACTIVE,LO,18-Sep-91
6126,SINGLE,SELF EMPLOYED,POTTERER,66,IRISH,CHOFF,LO,27-Jan-86
6127,SINGLE,EMPLOYED FULL-TIME,SALES ASSISTANT,59,IRISH,ACTIVE,LO,01-Jan-83
6132,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,84,IRISH,ACTIVE,LO,31-Jan-86
6136,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,57,IRISH,ACTIVE,LO,01-Feb-86
6140,SINGLE,RETIRED,RETIRED,80,IRISH,ACTIVE,LO,01-Feb-86
6143,SINGLE,RETIRED,PENSION,79,IRISH,ACTIVE,LO,03-Feb-86
6144,SINGLE,EMPLOYED FULL-TIME,DRIVER,56,IRISH,ACTIVE,LO,06-Feb-86
6158,SINGLE,EMPLOYED FULL-TIME,SUIR PLANT LTD,48,IRISH,ACTIVE,LO,19-Sep-91
6169,SINGLE,EMPLOYED PART-TIME,HOUSE KEEPER,63,IRISH,ACTIVE,LO,20-Sep-91
6170,SINGLE,Not Available,FACTORY WORKER,60,IRISH,ACTIVE,LO,14-Feb-86
6173,SINGLE,RETIRED,Not Available,68,IRISH,ACTIVE,LO,02-Dec-98
6177,SINGLE,EMPLOYED FULL-TIME,MECHANIC,46,IRISH,ACTIVE,LO,17-Feb-86
6180,SINGLE,Not Available,Not Available,71,IRISH,ACTIVE,LO,14-Feb-86
6181,SINGLE,Not Available,COMPUTER ENG,48,IRISH,ACTIVE,LO,21-Feb-86
